"final_hostname","final_ip","_time","final_ip_type","final_ip_subnet_network_type","final_ip_zone","final_ip_zone_location",metisCreatedDate,shortDescription,primarySupportGroup,primaryUsedBy
"ti-x0035","10.119.56.10","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-302_BAND_46","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M386 B46 station 20 USS VDB 40 plc","ITM-ED-Ti CSG","Jurgen Hayen (MA-WS/QMM)"
"ti-x0038","10.119.56.18","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-302_BAND_46","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M386 B46 station 21 USS VDB 40 plc","ITM-ED-Ti CSG","Jurgen Hayen (MA-WS/QMM)"
"ti-x003b","10.119.56.26","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-302_BAND_46","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M386 B46 station 30 Gummi plc","ITM-ED-Ti CSG","Jurgen Hayen (MA-WS/QMM)"
"ti-x003f","10.119.56.35","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-302_BAND_46","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M386 B46 station 50 Spoiler OC plc","ITM-ED-Ti CSG","Jurgen Hayen (MA-WS/QMM)"
"ti-x003k","10.119.56.45","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-302_BAND_46","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M386 B46 station 60 Endkappe OC plc","ITM-ED-Ti CSG","Jurgen Hayen (MA-WS/QMM)"
"ti-x003z","10.119.56.63","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-302_BAND_46","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M386 B46 station 70 HF-Cover plc","ITM-ED-Ti CSG","Jurgen Hayen (MA-WS/QMM)"
"ti-x004t","10.119.58.12","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-306_BAND_47","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M390 B47 station 20 USS plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x0072","10.119.58.135","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-307_BAND_48","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M394 B48 station 20 USS plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x0075","10.119.58.138","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-307_BAND_48","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M394 B48 station 21 USS plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x0078","10.119.58.141","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-307_BAND_48","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M394 B48 station 30 Gummi plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x007c","10.119.58.145","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-307_BAND_48","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M394 B48 station 50 Spoiler OC plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x007i","10.119.58.150","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-307_BAND_48","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M394 B48 station 60 Endkappe OC plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x007y","10.119.58.165","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-307_BAND_48","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M394 B48 station 70 HF-Cover plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x004w","10.119.58.19","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-306_BAND_47","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M390 B47 station 21 USS plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x004z","10.119.58.26","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-306_BAND_47","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M390 B47 station 30 Gummi plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x0053","10.119.58.34","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-306_BAND_47","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M390 B47 station 50 Spoiler OC plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x004p","10.119.58.4","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-306_BAND_47","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M390 B47 station 10 Adapter & Fes montage plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x0058","10.119.58.42","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-306_BAND_47","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M390 B47 station 60 Endkappe OC plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x005n","10.119.58.61","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-306_BAND_47","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M390 B47 station 70 HF-Cover plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"element-2-b6","10.119.83.173","2025-11-17T13:00:00.000+0100","Bosch Intranet",Engineering,NONE,NONE,,,,
"element-99-abx","10.119.83.184","2025-11-17T13:00:00.000+0100","Bosch Intranet",Engineering,NONE,NONE,,,,
brgvm00324,"10.121.101.63","2025-10-20T21:00:00.000+0200","Bosch Intranet",Server,NONE,NONE,"2025-10-14T03:05:01.000+00:00","Nexeed Line Controller - SMT","ESX Server Service",
brgvm00325,"10.121.101.64","2025-11-03T16:00:00.000+0100","Bosch Intranet",Server,NONE,NONE,"2025-10-14T03:05:01.000+00:00","Nexeed Line Controller - SMT","ESX Server Service",
"brg-c-001ne","10.121.113.11","2025-11-14T09:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Claudio Rodrigues (ME/QMM-M1-BrgP)"
"brg-c-001ne","10.121.113.11","2025-11-14T09:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Claudio Rodrigues (ME/QMM-M1-BrgP)"
"brg-c-001ne","10.121.113.11","2025-11-14T09:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Claudio Rodrigues (ME/QMM-M1-BrgP)"
"brg-c-001ne","10.121.113.11","2025-11-14T09:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Claudio Rodrigues (ME/QMM-M1-BrgP)"
"brg-c-001ne","10.121.113.11","2025-11-14T09:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Claudio Rodrigues (ME/QMM-M1-BrgP)"
"brg-c-001ne","10.121.113.11","2025-11-14T09:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Claudio Rodrigues (ME/QMM-M1-BrgP)"
"brg-c-001ne","10.121.113.11","2025-11-14T09:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Claudio Rodrigues (ME/QMM-M1-BrgP)"
"brg-c-001ne","10.121.113.11","2025-11-14T09:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Claudio Rodrigues (ME/QMM-M1-BrgP)"
na,"10.121.113.3","2025-10-27T20:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Jose Paulo Vilaca (ME/QMM-M1-BrgP)"
na,"10.121.113.3","2025-10-27T20:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Diogo Machado (ME/QMM-L21-BrgP)"
na,"10.121.113.3","2025-10-27T20:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","Connection Type: BCN ; Profile: office",Portugal1,"Marcelo Menezes (ME/QMM-N1-BrgP)"
na,"10.121.113.3","2025-10-27T20:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Luis Miguel Goncalves (ME/QMM-M1-BrgP)"
na,"10.121.113.61","2025-11-14T21:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Jose Paulo Vilaca (ME/QMM-M1-BrgP)"
na,"10.121.113.61","2025-11-14T21:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Ricardo Gomes (BrgP/MFE38)"
na,"10.121.113.61","2025-11-14T21:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Gustavo Goncalves (BrgP/MFE28)"
na,"10.121.113.61","2025-11-14T21:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Carlos Filipe Silva (ME/QMM-L21-BrgP)"
na,"10.121.113.61","2025-11-14T21:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Belmiro Silva (BrgP/MOE2.3)"
na,"10.121.113.61","2025-11-14T21:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Jose Miguel Costa (ME/QMM-L21-BrgP)"
na,"10.121.113.61","2025-11-14T21:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"MariaConceicao Goncalves (ME/QMM-L2-BrgP)"
na,"10.121.113.61","2025-11-14T21:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Jose Pinto (BrgP/MFE38)"
na,"10.121.113.61","2025-11-14T21:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"JorgeSoares Silva (BrgP/COS12)"
na,"10.121.113.61","2025-11-14T21:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Goncalo Matos (ME/QMM-L21-BrgP)"
"brg-c-001mu","10.121.113.79","2025-11-17T19:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Luis Miguel Goncalves (ME/QMM-M1-BrgP)"
"brg-c-001mu","10.121.113.79","2025-11-17T19:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Luis Miguel Goncalves (ME/QMM-M1-BrgP)"
"brg-c-001mu","10.121.113.79","2025-11-17T19:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Luis Miguel Goncalves (ME/QMM-M1-BrgP)"
"brg-c-001mu","10.121.113.79","2025-11-17T19:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Luis Miguel Goncalves (ME/QMM-M1-BrgP)"
"brg-c-001mu","10.121.113.79","2025-11-17T19:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Luis Miguel Goncalves (ME/QMM-M1-BrgP)"
"brg-c-001mu","10.121.113.79","2025-11-17T19:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Luis Miguel Goncalves (ME/QMM-M1-BrgP)"
"brg-c-001mu","10.121.113.79","2025-11-17T19:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Luis Miguel Goncalves (ME/QMM-M1-BrgP)"
"brg-c-001mu","10.121.113.79","2025-11-17T19:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Luis Miguel Goncalves (ME/QMM-M1-BrgP)"
na,"10.121.113.83","2025-11-06T22:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Joaquim Mota (ME/QMM-L21-BrgP)"
na,"10.121.113.83","2025-11-06T22:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Jose Paulo Vilaca (ME/QMM-M1-BrgP)"
na,"10.121.113.83","2025-11-06T22:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Rodrigo Salsa (ME/QMM-M1-BrgP)"
na,"10.121.113.83","2025-11-06T22:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Joaquim Mota (ME/QMM-L21-BrgP)"
na,"10.121.113.83","2025-11-06T22:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Luis Miguel Goncalves (ME/QMM-M1-BrgP)"
na,"10.121.113.83","2025-11-06T22:00:00.000+0100","Bosch Intranet",Office,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Julio Alves (BrgP/MFE38)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Anabela Pereira (BrgP/MFE15)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Luis Silva (BrgP/COS14)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Joao Dias (GS/HRS2-PO)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Manuela Leite (BrgP/LOM4)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Rui Machado (BrgP/MFE28.4)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Diogo Machado (ME/QMM-L21-BrgP)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Daniel Barbosa (BrgP/MOE14.1)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a - PC em reparação",Portugal1,"Ricardo Andre Lima (BrgP/MFE21)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Domingos Teixeira (BrgP/LOM4)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Alberto Bumba (BrgP/MFE21)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Vanessa Quintaos (XC-AC/EOS-Brg)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Joana Ferreira (ME-SN/ENG-PT)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Eduardo Sousa (BrgP/MFE31.2)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Catarina Esteves (BrgP/MOE2.1)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Vitor Serrano (BrgP/MFE38)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Valeria Rocha (XC-HWP/ECM2)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Jaime Teixeira (XC-AC/EOS-Brg)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Luisa Goncalves (ME/QMM-M3-BrgP)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Christine Schimpf (M/PUR4.8-Brg)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Paulo Barreto (BrgP/MOE10.2)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Pedro Souto (ME/QMM-M3-BrgP)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Sergio Serrao (BrgP/MFE25)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Nuno Martins (ME/QMM-C-BrgP)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Antonio Ferreira Reis (BrgP/MOE2.7)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Marcelo Pinto (BrgP/LOP1)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Hugo Araujo (BrgP/MFE28.1)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Silke Scharmann (VM/ESE-CB-Brg)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Daniel Pereira (M/PUR3-Brg)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Susana Piairo (BrgP/MOE2.8)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Patricia Cunha (BrgP/COS)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Estevao Silva (BrgP/MFE3)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Tiago Soares (BrgP/MFE28.1)"
na,"10.121.136.118","2025-10-30T16:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Antonio Barros (XC-HWP/ESP5)"
na,"10.121.138.150","2025-10-28T20:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Bernardete Maio (ME/QMM-C-BrgP)"
na,"10.121.138.150","2025-10-28T20:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Pedro Cunha (BrgP/MOE2.8)"
na,"10.121.138.150","2025-10-28T20:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Bruno Abreu (BrgP/LOM4)"
na,"10.121.138.150","2025-10-28T20:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Carlos Santos (ME/QMM-L22-BrgP)"
na,"10.121.138.150","2025-10-28T20:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Daniel Alves (ME/LOG-Brg)"
na,"10.121.138.150","2025-10-28T20:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00",POOL,Portugal1,"Antonio Rodrigues (BrgP/MFE28.2)"
na,"10.121.138.150","2025-10-28T20:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Joao Cardoso (XC-AC/ENG31-Brg)"
na,"10.121.138.150","2025-10-28T20:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Fabio Rodrigues (BrgP/MOE2-P)"
na,"10.121.138.150","2025-10-28T20:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"Matheus Sousa (BrgP/MFE28.7)"
"brg-c-0043r","10.121.138.178","2025-11-15T00:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"David Pinto (BrgP/MOE2.5)"
"brg-c-0043r","10.121.138.178","2025-11-15T00:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"David Pinto (BrgP/MOE2.5)"
"brg-c-0043r","10.121.138.178","2025-11-15T00:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"David Pinto (BrgP/MOE2.5)"
"brg-c-0043r","10.121.138.178","2025-11-15T00:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"David Pinto (BrgP/MOE2.5)"
"brg-c-0043r","10.121.138.178","2025-11-15T00:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"David Pinto (BrgP/MOE2.5)"
"brg-c-0043r","10.121.138.178","2025-11-15T00:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"David Pinto (BrgP/MOE2.5)"
"brg-c-0043r","10.121.138.178","2025-11-15T00:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"David Pinto (BrgP/MOE2.5)"
"brg-c-0043r","10.121.138.178","2025-11-15T00:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"David Pinto (BrgP/MOE2.5)"
"brg-c-0043r","10.121.138.178","2025-11-15T00:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"David Pinto (BrgP/MOE2.5)"
"brg-c-0043r","10.121.138.178","2025-11-15T00:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"David Pinto (BrgP/MOE2.5)"
"brg-c-0043r","10.121.138.178","2025-11-15T00:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"David Pinto (BrgP/MOE2.5)"
"brg-c-0043r","10.121.138.178","2025-11-15T00:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"David Pinto (BrgP/MOE2.5)"
"brg-c-0043r","10.121.138.178","2025-11-15T00:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"David Pinto (BrgP/MOE2.5)"
"brg-c-0043r","10.121.138.178","2025-11-15T00:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"David Pinto (BrgP/MOE2.5)"
"brg-c-0043r","10.121.138.178","2025-11-15T00:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"David Pinto (BrgP/MOE2.5)"
"brg-c-0043r","10.121.138.178","2025-11-15T00:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"David Pinto (BrgP/MOE2.5)"
"brg-c-0043r","10.121.138.178","2025-11-15T00:00:00.000+0100","Bosch Intranet","Office_WLAN",NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a",Portugal1,"David Pinto (BrgP/MOE2.5)"
